SAMPLE	IsTestSet	OBJECT
train	False	obj288
train	False	obj289
train	False	obj290
train	False	obj291
train	False	obj292
train	False	obj328
train	False	obj329
train	False	obj331
train	False	obj334
train	False	obj335
train	False	obj336
train	False	obj337
train	False	obj338
train	False	obj339
train	False	obj340
train	False	obj342
train	False	obj343
train	False	obj346
train	False	obj347
train	False	obj349
train	False	obj350
train	False	obj352
train	False	obj353
train	False	obj354
train	False	obj355
train	False	obj356
train	False	obj357
train	False	obj358
train	False	obj359
train	False	obj361
train	False	obj363
train	False	obj364
train	False	obj366
train	False	obj368
train	False	obj371
train	False	obj372
train	False	obj375
train	False	obj376
train	False	obj377
train	False	obj378
train	False	obj379
train	False	obj381
train	False	obj384
train	False	obj385
train	False	obj386
train	False	obj387
train	False	obj388
train	False	obj390
train	False	obj392
train	False	obj393
train	False	obj394
train	False	obj395
train	False	obj396
train	False	obj397
train	False	obj398
train	False	obj399
train	False	obj400
train	False	obj401
train	False	obj402
train	False	obj405
train	False	obj406
train	False	obj407
train	False	obj408
train	False	obj410
train	False	obj411
train	False	obj412
train	False	obj413
train	False	obj414
train	False	obj415
train	False	obj416
train	False	obj417
train	False	obj418
train	False	obj419
train	False	obj421
train	False	obj422
train	False	obj423
train	False	obj424
train	False	obj425
train	False	obj426
train	False	obj427
train	False	obj429
train	False	obj430
train	False	obj431
train	False	obj432
train	False	obj433
train	False	obj434
train	False	obj436
train	False	obj437
train	False	obj439
train	False	obj440
train	False	obj442
train	False	obj443
train	False	obj446
train	False	obj447
train	False	obj448
train	False	obj449
train	False	obj451
train	False	obj453
train	False	obj456
train	False	obj457
train	False	obj460
train	False	obj461
train	False	obj462
train	False	obj463
train	False	obj464
train	False	obj467
train	False	obj468
train	False	obj469
train	False	obj470
train	False	obj472
train	False	obj476
train	False	obj477
train	False	obj478
train	False	obj479
train	False	obj482
train	False	obj483
train	False	obj484
train	False	obj485
train	False	obj486
train	False	obj488
train	False	obj489
train	False	obj490
train	False	obj493
train	False	obj494
train	False	obj495
train	False	obj500
train	False	obj501
train	False	obj503
train	False	obj505
train	False	obj506
train	False	obj507
train	False	obj508
train	False	obj509
train	False	obj510
train	False	obj511
train	False	obj512
train	False	obj514
train	False	obj515
train	False	obj516
train	False	obj517
train	False	obj518
train	False	obj519
train	False	obj520
train	False	obj522
train	False	obj523
train	False	obj524
train	False	obj525
train	False	obj526
train	False	obj528
train	False	obj529
train	False	obj530
train	False	obj531
train	False	obj532
train	False	obj536
train	False	obj537
train	False	obj538
train	False	obj539
train	False	obj541
train	False	obj542
train	False	obj543
train	False	obj544
train	False	obj545
train	False	obj547
train	False	obj550
train	False	obj554
train	False	obj557
train	False	obj558
train	False	obj559
train	False	obj561
train	False	obj562
train	False	obj563
train	False	obj568
train	False	obj570
train	False	obj572
train	False	obj573
train	False	obj577
train	False	obj579
train	False	obj582
train	False	obj584
train	False	obj585
train	False	obj586
train	False	obj587
train	False	obj588
train	False	obj589
train	False	obj590
train	False	obj592
train	False	obj593
train	False	obj594
train	False	obj595
train	False	obj596
train	False	obj597
train	False	obj599
train	False	obj600
train	False	obj601
train	False	obj603
train	False	obj604
train	False	obj606
train	False	obj607
train	False	obj612
train	False	obj613
train	False	obj614
train	False	obj615
train	False	obj618
train	False	obj619
train	False	obj620
train	False	obj621
train	False	obj622
train	False	obj623
train	False	obj624
train	False	obj625
train	False	obj626
train	False	obj628
train	False	obj629
train	False	obj630
train	False	obj631
train	False	obj632
train	False	obj633
train	False	obj634
train	False	obj636
train	False	obj637
train	False	obj638
train	False	obj639
train	False	obj640
train	False	obj641
train	False	obj644
train	False	obj645
train	False	obj646
train	False	obj647
train	False	obj650
train	False	obj653
train	False	obj655
train	False	obj656
train	False	obj658
train	False	obj659
train	False	obj660
train	False	obj662
train	False	obj664
train	False	obj666
train	False	obj667
train	False	obj668
train	False	obj669
train	False	obj670
train	False	obj672
train	False	obj674
train	False	obj675
train	False	obj676
train	False	obj678
train	False	obj679
train	False	obj680
train	False	obj681
train	False	obj682
train	False	obj683
train	False	obj684
train	False	obj686
train	False	obj688
train	False	obj690
train	False	obj691
train	False	obj692
train	False	obj693
train	False	obj695
train	False	obj696
train	False	obj697
train	False	obj698
train	False	obj699
train	False	obj702
train	False	obj703
train	False	obj704
train	False	obj705
train	False	obj708
train	False	obj709
train	False	obj710
train	False	obj712
train	False	obj714
train	False	obj715
train	False	obj716
train	False	obj718
train	False	obj719
train	False	obj720
train	False	obj721
train	False	obj723
train	False	obj724
train	False	obj725
train	False	obj726
train	False	obj727
train	False	obj728
train	False	obj729
train	False	obj730
train	False	obj732
train	False	obj733
train	False	obj734
train	False	obj737
train	False	obj738
train	False	obj740
train	False	obj741
train	False	obj742
train	False	obj744
train	False	obj745
train	False	obj746
train	False	obj747
train	False	obj750
train	False	obj751
train	False	obj753
train	False	obj756
train	False	obj757
train	False	obj758
train	False	obj760
train	False	obj761
train	False	obj764
train	False	obj768
train	False	obj769
train	False	obj770
train	False	obj771
train	False	obj774
train	False	obj776
train	False	obj778
train	False	obj780
train	False	obj781
train	False	obj782
train	False	obj783
train	False	obj784
train	False	obj785
train	False	obj787
train	False	obj788
train	False	obj789
train	False	obj790
train	False	obj791
train	False	obj792
train	False	obj793
train	False	obj794
train	False	obj795
train	False	obj797
train	False	obj798
train	False	obj800
train	False	obj801
train	False	obj802
train	False	obj804
train	False	obj805
train	False	obj808
train	False	obj809
train	False	obj814
train	False	obj815
train	False	obj816
train	False	obj817
train	False	obj818
train	False	obj819
train	False	obj820
train	False	obj822
train	False	obj824
train	False	obj825
train	False	obj827
train	False	obj828
train	False	obj829
train	False	obj830
train	False	obj831
train	False	obj832
train	False	obj833
train	False	obj834
train	False	obj835
train	False	obj836
train	False	obj838
train	False	obj840
train	False	obj842
train	False	obj843
train	False	obj845
train	False	obj846
train	False	obj847
train	False	obj848
train	False	obj849
train	False	obj850
train	False	obj851
train	False	obj853
train	False	obj855
train	False	obj856
train	False	obj857
train	False	obj858
train	False	obj860
train	False	obj861
train	False	obj862
train	False	obj864
train	False	obj865
train	False	obj866
train	False	obj867
train	False	obj868
train	False	obj869
train	False	obj870
train	False	obj871
train	False	obj873
train	False	obj875
train	False	obj876
train	False	obj877
train	False	obj880
train	False	obj881
train	False	obj882
train	False	obj883
train	False	obj884
train	False	obj885
train	False	obj886
train	False	obj887
train	False	obj889
train	False	obj892
train	False	obj893
train	False	obj895
train	False	obj896
train	False	obj897
train	False	obj898
train	False	obj899
train	False	obj901
train	False	obj902
train	False	obj905
train	False	obj907
train	False	obj908
train	False	obj909
train	False	obj910
train	False	obj911
train	False	obj912
train	False	obj913
train	False	obj916
train	False	obj918
train	False	obj919
train	False	obj920
train	False	obj921
train	False	obj922
train	False	obj923
train	False	obj924
train	False	obj932
train	False	obj933
train	False	obj935
train	False	obj937
train	False	obj939
train	False	obj940
train	False	obj941
train	False	obj942
train	False	obj943
train	False	obj944
train	False	obj945
train	False	obj946
train	False	obj948
train	False	obj949
train	False	obj950
train	False	obj951
train	False	obj954
train	False	obj955
train	False	obj957
train	False	obj958
train	False	obj959
train	False	obj960
train	False	obj967
train	False	obj968
train	False	obj969
train	False	obj970
train	False	obj971
train	False	obj972
train	False	obj973
train	False	obj974
train	False	obj975
train	False	obj976
train	False	obj977
train	False	obj978
train	False	obj979
train	False	obj982
train	False	obj984
train	False	obj985
train	False	obj986
train	False	obj987
train	False	obj988
train	False	obj989
train	False	obj990
train	False	obj991
train	False	obj992
train	False	obj993
train	False	obj994
train	False	obj995
train	False	obj996
train	False	obj997
train	False	obj998
train	False	obj1000
train	False	obj1003
train	False	obj1004
train	False	obj1005
train	False	obj1010
train	False	obj1011
train	False	obj1014
train	False	obj1016
train	False	obj1018
train	False	obj1019
train	False	obj1020
train	False	obj1025
train	False	obj1026
train	False	obj1027
train	False	obj1028
train	False	obj1032
train	False	obj1033
train	False	obj1038
train	False	obj1039
train	False	obj1040
train	False	obj1042
train	False	obj1043
train	False	obj1046
train	False	obj1048
train	False	obj1049
train	False	obj1050
train	False	obj1051
train	False	obj1052
train	False	obj1054
train	False	obj1055
train	False	obj1056
train	False	obj1057
train	False	obj1058
train	False	obj1059
train	False	obj1060
train	False	obj1061
train	False	obj1062
train	False	obj1064
train	False	obj1065
train	False	obj1067
train	False	obj1069
train	False	obj1071
train	False	obj1072
train	False	obj1073
train	False	obj1074
train	False	obj1075
train	False	obj1076
train	False	obj1078
train	False	obj1079
train	False	obj1080
train	False	obj1081
train	False	obj1082
train	False	obj1083
train	False	obj1084
train	False	obj1085
train	False	obj1087
train	False	obj1091
train	False	obj1093
train	False	obj1094
train	False	obj1096
train	False	obj1097
train	False	obj1099
train	False	obj1101
train	False	obj1102
train	False	obj1104
train	False	obj1106
train	False	obj1108
train	False	obj1109
train	False	obj1110
train	False	obj1111
train	False	obj1112
train	False	obj1116
train	False	obj1118
train	False	obj1120
train	False	obj1121
train	False	obj1122
train	False	obj1123
train	False	obj1127
train	False	obj1128
train	False	obj1132
train	False	obj1135
train	False	obj1136
train	False	obj1138
train	False	obj1141
train	False	obj1143
train	False	obj1144
train	False	obj1145
train	False	obj1146
train	False	obj1147
train	False	obj1149
train	False	obj1150
train	False	obj1152
train	False	obj1153
train	False	obj1154
train	False	obj1155
train	False	obj1156
train	False	obj1158
train	False	obj1159
train	False	obj1161
train	False	obj1162
train	False	obj1163
train	False	obj1164
train	False	obj1165
train	False	obj1168
train	False	obj1169
train	False	obj1170
train	False	obj1171
train	False	obj1172
train	False	obj1173
train	False	obj1174
train	False	obj1175
train	False	obj1177
train	False	obj1178
train	False	obj1179
train	False	obj1180
train	False	obj1181
train	False	obj1182
train	False	obj1183
train	False	obj1184
train	False	obj1185
train	False	obj1187
train	False	obj1188
train	False	obj1189
train	False	obj1190
train	False	obj1191
train	False	obj1192
train	False	obj1193
train	False	obj1194
train	False	obj1197
train	False	obj1199
train	False	obj1200
train	False	obj1202
train	False	obj1203
train	False	obj1204
train	False	obj1205
train	False	obj1206
train	False	obj1207
train	False	obj1210
train	False	obj1212
train	False	obj1214
train	False	obj1216
train	False	obj1218
train	False	obj1219
train	False	obj1220
train	False	obj1221
train	False	obj1222
train	False	obj1224
train	False	obj1226
train	False	obj1227
train	False	obj1228
train	False	obj1230
train	False	obj1232
train	False	obj1233
train	False	obj1234
train	False	obj1235
train	False	obj1236
train	False	obj1237
train	False	obj1238
train	False	obj1240
train	False	obj1241
train	False	obj1242
train	False	obj1243
train	False	obj1244
train	False	obj1246
train	False	obj1247
train	False	obj1249
train	False	obj1253
train	False	obj1255
train	False	obj1257
train	False	obj1258
train	False	obj1261
train	False	obj1262
train	False	obj1263
train	False	obj1266
train	False	obj1270
train	False	obj1272
train	False	obj1273
train	False	obj1275
train	False	obj1277
train	False	obj1278
train	False	obj1279
train	False	obj1280
train	False	obj1281
train	False	obj1282
train	False	obj1283
train	False	obj1284
train	False	obj1285
train	False	obj1287
train	False	obj1288
train	False	obj1292
train	False	obj1295
train	False	obj1296
train	False	obj1297
train	False	obj1298
train	False	obj1299
train	False	obj1300
train	False	obj1301
train	False	obj1303
train	False	obj1304
train	False	obj1305
train	False	obj1306
train	False	obj1307
train	False	obj1308
train	False	obj1310
train	False	obj1311
train	False	obj1312
train	False	obj1313
train	False	obj1314
train	False	obj1315
train	False	obj1317
train	False	obj1320
train	False	obj1322
train	False	obj1323
train	False	obj1325
train	False	obj1326
train	False	obj1327
train	False	obj1329
train	False	obj1330
train	False	obj1333
train	False	obj1334
train	False	obj1336
train	False	obj1337
train	False	obj1338
train	False	obj1340
train	False	obj1341
train	False	obj1342
train	False	obj1343
train	False	obj1347
train	False	obj1348
train	False	obj1350
train	False	obj1351
train	False	obj1353
train	False	obj1354
train	False	obj1355
train	False	obj1356
train	False	obj1357
train	False	obj1358
train	False	obj1359
train	False	obj1361
train	False	obj1362
train	False	obj1363
train	False	obj1364
train	False	obj1366
train	False	obj1367
train	False	obj1369
train	False	obj1370
train	False	obj1371
train	False	obj1372
train	False	obj1374
train	False	obj1376
train	False	obj1377
train	False	obj1379
train	False	obj1380
train	False	obj1381
train	False	obj1382
train	False	obj1383
train	False	obj1384
train	False	obj1386
train	False	obj1387
train	False	obj1388
train	False	obj1389
train	False	obj1390
train	False	obj1391
train	False	obj1392
train	False	obj1395
train	False	obj1396
train	False	obj1397
train	False	obj1402
train	False	obj1405
train	False	obj1406
train	False	obj1407
train	False	obj1408
train	False	obj1409
train	False	obj1410
train	False	obj1412
train	False	obj1413
train	False	obj1415
train	False	obj1416
train	False	obj1417
train	False	obj1418
train	False	obj1419
train	False	obj1421
train	False	obj1422
train	False	obj1424
train	False	obj1425
train	False	obj1427
train	False	obj1428
train	False	obj1429
train	False	obj1430
train	False	obj1431
train	False	obj1432
train	False	obj1433
train	False	obj1434
train	False	obj1436
train	False	obj1438
train	False	obj1439
train	False	obj1440
train	False	obj1443
train	False	obj1445
train	False	obj1446
train	False	obj1447
train	False	obj1450
train	False	obj1451
train	False	obj1452
train	False	obj1453
train	False	obj1454
train	False	obj1455
train	False	obj1456
train	False	obj1457
train	False	obj1458
train	False	obj1459
train	False	obj1460
train	False	obj1462
train	False	obj1465
train	False	obj1466
train	False	obj1467
train	False	obj1473
train	False	obj1475
train	False	obj1476
train	False	obj1478
train	False	obj1479
train	False	obj1480
train	False	obj1481
train	False	obj1482
train	False	obj1484
train	False	obj1487
train	False	obj1488
train	False	obj1489
train	False	obj1490
train	False	obj1491
train	False	obj1492
train	False	obj1493
train	False	obj1495
train	False	obj1496
train	False	obj1498
train	False	obj1499
train	False	obj1500
train	False	obj1501
train	False	obj1502
train	False	obj1503
train	False	obj1504
train	False	obj1505
train	False	obj1506
train	False	obj1507
train	False	obj1508
train	False	obj1509
train	False	obj1510
train	False	obj1511
train	False	obj1513
train	False	obj1514
train	False	obj1515
train	False	obj1516
train	False	obj1517
train	False	obj1519
train	False	obj1520
train	False	obj1521
train	False	obj1522
train	False	obj1523
train	False	obj1525
train	False	obj1526
train	False	obj1527
train	False	obj1528
train	False	obj1529
train	False	obj1530
train	False	obj1531
train	False	obj1532
train	False	obj1533
train	False	obj1534
train	False	obj1535
train	False	obj1536
train	False	obj1537
train	False	obj1538
train	False	obj1539
train	False	obj1540
train	False	obj1542
train	False	obj1543
train	False	obj1545
train	False	obj1548
train	False	obj1549
train	False	obj1550
train	False	obj1551
train	False	obj1552
train	False	obj1553
train	False	obj1554
train	False	obj1556
train	False	obj1558
train	False	obj1559
train	False	obj1560
train	False	obj1562
train	False	obj1563
train	False	obj1565
train	False	obj1567
train	False	obj1568
train	False	obj1569
train	False	obj1571
train	False	obj1572
train	False	obj1573
train	False	obj1576
train	False	obj1579
train	False	obj1582
train	False	obj1583
train	False	obj1584
train	False	obj1585
train	False	obj1586
train	False	obj1587
train	False	obj1588
train	False	obj1589
train	False	obj1590
train	False	obj1591
train	False	obj1593
train	False	obj1594
train	False	obj1595
train	False	obj1596
train	False	obj1597
train	False	obj1598
train	False	obj1600
train	False	obj1601
train	False	obj1604
train	False	obj1605
train	False	obj1608
train	False	obj1609
train	False	obj1610
train	False	obj1612
train	False	obj1613
train	False	obj1614
train	False	obj1615
train	False	obj1616
train	False	obj1617
train	False	obj1618
train	False	obj1619
train	False	obj1620
train	False	obj1621
train	False	obj1622
train	False	obj1623
train	False	obj1624
train	False	obj1625
train	False	obj1626
train	False	obj1627
train	False	obj1628
train	False	obj1629
train	False	obj1630
train	False	obj1632
train	False	obj1634
train	False	obj1635
train	False	obj1636
train	False	obj1637
train	False	obj1638
train	False	obj1639
train	False	obj1643
train	False	obj1644
train	False	obj1647
train	False	obj1649
train	False	obj1650
train	False	obj1651
train	False	obj1652
train	False	obj1653
train	False	obj1654
train	False	obj1657
train	False	obj1658
train	False	obj1659
train	False	obj1660
train	False	obj1661
train	False	obj1662
train	False	obj1663
train	False	obj1664
train	False	obj1665
train	False	obj1666
train	False	obj1667
train	False	obj1668
train	False	obj1671
train	False	obj1672
train	False	obj1674
train	False	obj1675
train	False	obj1677
train	False	obj1679
train	False	obj1680
train	False	obj1681
train	False	obj1682
train	False	obj1685
train	False	obj1687
train	False	obj1688
train	False	obj1690
train	False	obj1694
train	False	obj1695
train	False	obj1696
train	False	obj1697
train	False	obj1698
train	False	obj1699
train	False	obj1702
train	False	obj1703
train	False	obj1704
train	False	obj1707
train	False	obj1708
train	False	obj1709
train	False	obj1710
train	False	obj1712
train	False	obj1714
train	False	obj1716
train	False	obj1717
train	False	obj1719
train	False	obj1720
train	False	obj1721
train	False	obj1723
train	False	obj1724
train	False	obj1725
train	False	obj1726
train	False	obj1728
train	False	obj1730
train	False	obj1731
train	False	obj1732
train	False	obj1733
train	False	obj1734
train	False	obj1737
train	False	obj1739
train	False	obj1740
train	False	obj1741
train	False	obj1742
train	False	obj1743
train	False	obj1746
train	False	obj1747
train	False	obj1749
train	False	obj1750
train	False	obj1751
train	False	obj1755
train	False	obj1756
train	False	obj1757
train	False	obj1759
train	False	obj1761
train	False	obj1762
train	False	obj1763
train	False	obj1764
train	False	obj1765
train	False	obj1766
train	False	obj1767
train	False	obj1768
train	False	obj1769
train	False	obj1770
train	False	obj1774
train	False	obj1775
train	False	obj1776
train	False	obj1777
train	False	obj1778
train	False	obj1779
train	False	obj1780
train	False	obj1782
train	False	obj1783
train	False	obj1784
train	False	obj1785
train	False	obj1786
train	False	obj1787
train	False	obj1791
train	False	obj1793
train	False	obj1797
train	False	obj1798
train	False	obj1799
train	False	obj1800
train	False	obj1802
train	False	obj1803
train	False	obj1804
train	False	obj1805
train	False	obj1806
train	False	obj1807
train	False	obj1808
train	False	obj1810
train	False	obj1814
train	False	obj1817
train	False	obj1818
train	False	obj1820
train	False	obj1823
train	False	obj1824
train	False	obj1826
train	False	obj1827
train	False	obj1829
train	False	obj1830
train	False	obj1832
train	False	obj1834
train	False	obj1836
train	False	obj1838
train	False	obj1840
train	False	obj1841
train	False	obj1842
train	False	obj1843
train	False	obj1846
train	False	obj1847
train	False	obj1848
train	False	obj1849
train	False	obj1850
train	False	obj1854
train	False	obj1855
train	False	obj1856
train	False	obj1857
train	False	obj1860
train	False	obj1861
train	False	obj1862
train	False	obj1863
train	False	obj1864
train	False	obj1865
train	False	obj1866
train	False	obj1867
train	False	obj1868
train	False	obj1870
train	False	obj1872
train	False	obj1873
train	False	obj1875
train	False	obj1876
train	False	obj1877
train	False	obj1878
train	False	obj1880
train	False	obj1881
train	False	obj1882
train	False	obj1884
train	False	obj1886
train	False	obj1887
train	False	obj1890
train	False	obj1891
train	False	obj1892
train	False	obj1893
train	False	obj1896
train	False	obj1897
train	False	obj1898
train	False	obj1900
train	False	obj1901
train	False	obj1902
train	False	obj1903
train	False	obj1904
train	False	obj1905
train	False	obj1906
train	False	obj1907
train	False	obj1908
train	False	obj1909
train	False	obj1911
train	False	obj1914
train	False	obj1915
train	False	obj1916
train	False	obj1917
train	False	obj1918
train	False	obj1919
train	False	obj1920
train	False	obj1921
train	False	obj1922
train	False	obj1923
train	False	obj1924
train	False	obj1925
train	False	obj1926
train	False	obj1927
train	False	obj1928
train	False	obj1931
train	False	obj1933
train	False	obj1934
train	False	obj1935
train	False	obj1936
train	False	obj1937
train	False	obj1938
train	False	obj1939
train	False	obj1940
train	False	obj1941
train	False	obj1942
train	False	obj1943
train	False	obj1944
train	False	obj1945
train	False	obj1947
train	False	obj1950
train	False	obj1951
train	False	obj1952
train	False	obj1955
train	False	obj1956
train	False	obj1958
train	False	obj1959
train	False	obj1960
train	False	obj1961
train	False	obj1963
train	False	obj1964
train	False	obj1965
train	False	obj1968
train	False	obj1969
train	False	obj1970
train	False	obj1971
train	False	obj1973
train	False	obj1974
train	False	obj1976
train	False	obj1978
train	False	obj1979
train	False	obj1981
train	False	obj1982
train	False	obj1983
train	False	obj1984
train	False	obj1985
train	False	obj1986
train	False	obj1991
train	False	obj1995
train	False	obj1996
train	False	obj1997
train	False	obj1998
train	False	obj1999
train	False	obj2000
train	False	obj2003
train	False	obj2005
train	False	obj2006
train	False	obj2007
train	False	obj2008
train	False	obj2010
train	False	obj2011
train	False	obj2012
train	False	obj2013
train	False	obj2014
train	False	obj2015
train	False	obj2016
train	False	obj2017
train	False	obj2019
train	False	obj2021
train	False	obj2022
train	False	obj2023
train	False	obj2026
train	False	obj2027
train	False	obj2029
train	False	obj2030
train	False	obj2031
train	False	obj2032
train	False	obj2033
train	False	obj2034
train	False	obj2038
train	False	obj2039
train	False	obj2040
train	False	obj2043
train	False	obj2044
train	False	obj2045
train	False	obj2047
train	False	obj2048
train	False	obj2051
train	False	obj2052
train	False	obj2053
train	False	obj2054
train	False	obj2055
train	False	obj2056
train	False	obj2057
train	False	obj2058
train	False	obj2061
train	False	obj2062
train	False	obj2063
train	False	obj2065
train	False	obj2066
train	False	obj2068
train	False	obj2069
train	False	obj2070
train	False	obj2071
train	False	obj2072
train	False	obj2073
train	False	obj2075
train	False	obj2077
train	False	obj2078
train	False	obj2080
train	False	obj2081
train	False	obj2084
train	False	obj2086
train	False	obj2087
train	False	obj2088
train	False	obj2091
train	False	obj2093
train	False	obj2094
train	False	obj2095
train	False	obj2096
train	False	obj2097
train	False	obj2099
train	False	obj2100
train	False	obj2101
train	False	obj2102
train	False	obj2104
train	False	obj2105
train	False	obj2106
train	False	obj2107
train	False	obj2108
train	False	obj2111
train	False	obj2114
train	False	obj2115
train	False	obj2116
train	False	obj2117
train	False	obj2118
train	False	obj2120
train	False	obj2121
train	False	obj2122
train	False	obj2123
train	False	obj2124
train	False	obj2125
train	False	obj2127
train	False	obj2128
train	False	obj2129
train	False	obj2130
train	False	obj2132
train	False	obj2134
train	False	obj2138
train	False	obj2139
train	False	obj2140
train	False	obj2141
train	False	obj2143
train	False	obj2144
train	False	obj2145
train	False	obj2147
train	False	obj2148
train	False	obj2149
train	False	obj2151
train	False	obj2152
train	False	obj2155
train	False	obj2156
train	False	obj2157
train	False	obj2158
train	False	obj2159
train	False	obj2160
train	False	obj2161
train	False	obj2162
train	False	obj2163
train	False	obj2164
train	False	obj2165
train	False	obj2166
train	False	obj2167
train	False	obj2168
train	False	obj2170
train	False	obj2173
train	False	obj2174
train	False	obj2177
train	False	obj2178
train	False	obj2179
train	False	obj2181
train	False	obj2182
train	False	obj2183
train	False	obj2184
train	False	obj2191
train	False	obj2192
train	False	obj2194
train	False	obj2195
train	False	obj2196
train	False	obj2197
train	False	obj2198
train	False	obj2199
train	False	obj2200
train	False	obj2201
train	False	obj2202
train	False	obj2203
train	False	obj2204
train	False	obj2205
train	False	obj2207
train	False	obj2211
train	False	obj2215
train	False	obj2217
train	False	obj2219
train	False	obj2222
train	False	obj2223
train	False	obj2227
train	False	obj2228
train	False	obj2230
train	False	obj2231
train	False	obj2234
train	False	obj2235
train	False	obj2237
train	False	obj2238
train	False	obj2239
train	False	obj2241
train	False	obj2242
train	False	obj2243
train	False	obj2245
train	False	obj2247
train	False	obj2249
train	False	obj2250
train	False	obj2252
train	False	obj2253
train	False	obj2255
train	False	obj2256
train	False	obj2257
train	False	obj2259
train	False	obj2260
train	False	obj2262
train	False	obj2264
train	False	obj2265
train	False	obj2266
train	False	obj2267
train	False	obj2269
train	False	obj2271
train	False	obj2272
train	False	obj2273
train	False	obj2274
train	False	obj2275
train	False	obj2276
train	False	obj2277
train	False	obj2278
train	False	obj2279
train	False	obj2282
train	False	obj2285
train	False	obj2286
train	False	obj2289
train	False	obj2290
train	False	obj2291
train	False	obj2292
train	False	obj2295
train	False	obj2296
train	False	obj2297
train	False	obj2298
train	False	obj2299
train	False	obj2302
train	False	obj2305
train	False	obj2307
train	False	obj2309
train	False	obj2311
train	False	obj2312
train	False	obj2314
train	False	obj2315
train	False	obj2317
train	False	obj2318
train	False	obj2319
train	False	obj2320
train	False	obj2321
train	False	obj2323
train	False	obj2325
train	False	obj2326
train	False	obj2327
train	False	obj2329
train	False	obj2330
train	False	obj2331
train	False	obj2332
train	False	obj2333
train	False	obj2336
train	False	obj2337
train	False	obj2338
train	False	obj2340
train	False	obj2341
train	False	obj2343
train	False	obj2344
train	False	obj2346
train	False	obj2347
train	False	obj2350
train	False	obj2351
train	False	obj2352
train	False	obj2354
train	False	obj2355
train	False	obj2356
train	False	obj2357
train	False	obj2361
train	False	obj2362
train	False	obj2364
